Geneid	gene_name	SRR3655795Aligned.sortedByCoord.out.bam	SRR3655801Aligned.sortedByCoord.out.bam	SRR3655791Aligned.sortedByCoord.out.bam	SRR3655798Aligned.sortedByCoord.out.bam	SRR3655797Aligned.sortedByCoord.out.bam	SRR3655799Aligned.sortedByCoord.out.bam	SRR3655793Aligned.sortedByCoord.out.bam	SRR3655800Aligned.sortedByCoord.out.bam	SRR3655802Aligned.sortedByCoord.out.bam	SRR3655792Aligned.sortedByCoord.out.bam	SRR3655794Aligned.sortedByCoord.out.bam	SRR3655796Aligned.sortedByCoord.out.bam
bcor	NA	264	268	263	546	546	354	203	832	668	639	573	625
LOC103909557	NA	0	13	3	3	3	2	5	0	51	14	16	0
mid1ip1b	NA	245	353	257	792	792	487	162	1292	907	631	336	596
tspan7b	NA	45	40	14	48	48	31	23	93	116	55	64	78
slc26a11	NA	88	199	114	216	216	249	140	575	487	313	311	213
sgsh	NA	135	334	180	247	247	336	168	818	743	516	445	339
npb	NA	0	4	2	47	47	12	0	25	17	9	4	3
gnav1	NA	77	199	123	175	175	340	98	845	509	277	239	175
pcyt2	NA	322	596	532	721	721	1058	517	2572	1591	1425	1236	782
gcga	NA	300	291	290	1348	1348	172	123	429	724	667	310	611
dpp4	NA	4328	6987	7441	1432	1432	4638	6545	11906	17349	18857	16076	10714
mettl21a	NA	29	34	11	15	15	17	26	71	75	48	69	52
si:ch73-2d23.1	NA	7	3	3	1	1	3	11	2	8	20	22	5
LOC103909559	NA	1	1	0	1	1	1	0	2	5	0	0	5
LOC100535331	NA	2	1	0	6	6	0	1	7	5	0	0	3
crygs1	NA	0	1	0	2	2	0	0	0	0	0	0	0
krt222	NA	121	297	203	65	65	291	209	772	738	483	531	283
krt97	NA	10552	7959	15694	1696	1696	4614	11808	11593	19348	38681	30175	25750
krt96	NA	492	462	752	80	80	773	3	1867	1068	1810	10	1194
ptpn4b	NA	104	53	77	104	104	80	103	146	157	164	211	250
mras	NA	59	138	53	264	264	126	77	338	367	124	157	129
si:dkeyp-4h4.1	NA	0	4	0	2	2	10	0	24	6	0	3	0
mgat5	NA	933	1522	788	842	842	1416	1048	3377	3819	1944	2623	2039
tmem163b	NA	3	2	1	1	1	0	0	1	0	1	1	2
ccnt2b	NA	751	778	604	1031	1031	624	755	1640	1982	1553	1813	1858
zranb3	NA	11	45	12	31	31	18	13	49	132	33	39	28
r3hdm1	NA	33	30	36	43	43	38	35	118	77	105	87	87
r3hdm1_1	NA	396	433	426	379	379	414	383	1059	1132	1110	973	1019
mir128-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103909565	NA	1	0	0	2	2	0	2	0	0	0	2	1
rnd3a	NA	25	46	20	125	125	42	21	89	103	30	59	72
zgc:92335	NA	120	194	93	162	162	140	90	366	417	228	218	246
cep70	NA	10	73	18	62	62	38	24	90	193	41	49	22
adarb1a	NA	33	20	21	12	12	16	11	60	35	62	43	61
fam207a	NA	203	236	192	151	151	258	193	654	562	510	400	471
LOC110438271	NA	0	0	0	0	0	0	0	0	0	0	0	0
plcd4a	NA	0	0	0	1	1	0	0	0	1	0	0	0
rqcd1	NA	239	367	183	372	372	315	242	748	985	506	580	517
ftcd	NA	1383	186	666	274	274	994	898	2411	505	1707	2234	3398
mstna	NA	0	0	0	0	0	0	0	0	0	0	0	0
stat1a	NA	577	866	849	1591	1591	1132	737	2910	2211	2263	1831	1509
glsa	NA	242	359	244	556	556	374	265	955	959	597	594	577
nab1a	NA	28	21	6	82	82	68	19	142	67	17	67	45
mfsd6a	NA	237	1063	337	710	710	1278	406	3261	2700	897	1083	632
LOC100151486	NA	0	0	0	0	0	0	0	0	1	0	0	2
ahr1b	NA	4	7	7	22	22	17	6	37	21	17	17	22
ahr2	NA	1480	1728	1318	3304	3304	1447	1608	3573	4414	3292	3907	3429
cntnap5b	NA	3	0	2	0	0	4	0	16	5	0	0	6
LOC103909567	NA	0	0	0	0	0	1	0	1	4	1	5	4
LOC110438272	NA	1	1	0	0	0	0	0	0	0	0	0	1
LOC103909573	NA	2	0	0	3	3	3	1	4	0	0	4	7
LOC103909570	NA	0	0	0	0	0	0	0	0	0	0	0	0
s100b	NA	19	40	18	12	12	16	13	37	106	29	50	59
sh3bp4a	NA	33	57	22	184	184	96	29	282	165	42	56	86
arl4ca	NA	34	19	41	35	35	18	14	57	57	99	40	65
aox6	NA	1281	1266	2308	199	199	2411	1903	6165	3194	5823	4785	3270
aox5	NA	8	9	9	2	2	9	8	10	28	20	18	16
he1a	NA	0	0	1	0	0	1	3	1	1	2	3	0
he1b	NA	0	0	0	0	0	0	0	0	0	3	0	0
he2	NA	0	0	0	5	5	0	2	0	0	1	0	0
bzw1a	NA	1223	2202	865	2537	2537	2084	1306	5261	5311	2101	3018	2978
si:ch211-246m6.4	NA	0	3	0	1	1	0	0	3	7	0	1	1
si:ch211-246m6.5	NA	5	40	10	13	13	36	6	75	73	6	13	7
LOC101883810	NA	2	1	0	1	1	2	0	2	1	0	2	1
LOC103909568	NA	0	0	0	0	0	0	0	1	0	0	0	0
LOC103909575	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100332834	NA	0	6	0	2	2	1	0	1	4	4	5	4
si:dkeyp-122a9.1	NA	132	1	164	19	19	0	0	1	3	426	3	317
si:dkeyp-122a9.2	NA	0	0	0	1	1	0	0	0	0	0	0	0
lrp1ba	NA	8	34	9	129	129	15	4	57	100	23	11	23
LOC101882212	NA	0	0	0	0	0	0	0	1	0	1	0	0
LOC108181175	NA	0	0	1	0	0	0	0	2	1	1	2	0
LOC100537764	NA	0	0	0	3	3	0	0	0	1	0	2	1
LOC101882124	NA	1	0	0	0	0	0	0	1	0	0	0	2
LOC110438273	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100537797	NA	0	0	0	0	0	0	0	0	0	0	0	0
gtpbp1l	NA	192	245	205	170	170	230	145	539	608	468	368	476
LOC103909577	NA	1	2	0	1	1	0	0	2	1	0	0	1
LOC103909578	NA	1	20	3	4	4	0	2	3	53	3	2	0
mfng	NA	35	120	38	936	936	133	62	357	289	80	118	73
LOC798316	NA	115	29	312	25	25	70	151	179	89	811	347	281
sult3st3	NA	1742	173	2111	78	78	213	2261	481	419	5328	5695	4052
si:dkey-236e20.3	NA	6	2	4	0	0	1	8	1	1	19	10	5
sult3st4	NA	0	0	1	0	0	0	0	1	0	2	0	0
sult3st2	NA	0	0	4	0	0	1	2	0	0	13	0	2
rrp36	NA	0	0	0	0	0	0	0	0	0	0	0	0
tmem264	NA	0	0	0	0	0	0	0	0	0	0	0	0
rpp21	NA	1	1	0	0	0	0	0	1	9	0	4	2
gpc5b	NA	0	0	0	0	0	0	0	0	1	0	0	0
gpc1a	NA	4	1	7	0	0	1	1	1	6	16	5	7
ankmy1	NA	0	0	0	0	0	0	0	0	0	0	0	0
hsh2d	NA	0	0	0	0	0	0	0	0	0	0	0	0
tpm4a	NA	88	233	58	354	354	172	107	416	596	160	248	261
lpl	NA	238	214	32	404	404	902	12	2296	548	77	42	556
LOC100331214	NA	16	12	0	16	16	6	0	15	20	6	0	30
si:ch1073-396h14.1	NA	0	0	0	4	4	0	0	5	3	0	0	0
safb	NA	1130	1403	1306	806	806	753	1169	1873	3381	3376	2930	2750
malt2	NA	0	0	0	1	1	2	2	1	2	4	4	0
mrpl54	NA	0	0	0	0	0	0	0	0	0	0	0	0
fam32a	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101882550	NA	0	0	0	0	0	0	0	0	0	0	0	0
klf2a	NA	1	3	4	6	6	4	4	29	20	25	16	7
eps15l1a	NA	0	0	0	0	0	0	0	0	0	0	0	0
stil	NA	0	0	0	0	0	0	0	0	0	0	0	0
rc3h1a	NA	0	0	2	3	3	3	0	0	1	3	2	0
serpinc1	NA	0	0	0	0	0	0	0	0	0	0	0	0
zbtb37	NA	1	0	1	0	0	1	0	3	3	1	0	3
s1pr1	NA	0	0	0	0	0	0	0	0	0	0	0	0
dph5	NA	30	18	25	11	11	27	12	72	40	52	27	66
slc30a7	NA	4	1	58	28	28	1	0	5	3	163	1	4
vcam1b	NA	1	2	1	1	1	0	1	4	1	0	0	1
gpr88	NA	0	0	0	0	0	0	0	0	0	0	0	0
cdc14ab	NA	232	60	210	139	139	120	169	283	181	517	517	504
rtca	NA	137	272	116	427	427	208	136	615	729	311	378	337
dbt	NA	2	1	0	1	1	1	1	8	4	3	5	5
lrrc39	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438299	NA	0	0	0	0	0	0	0	0	0	0	0	0
trmt13	NA	0	0	0	0	0	2	0	0	1	1	0	0
osbpl1a	NA	0	0	0	0	0	0	0	0	0	0	0	0
ttc39c	NA	0	0	0	0	0	0	0	0	0	0	0	0
lama3	NA	0	0	0	0	0	0	0	0	0	0	0	1
cts12	NA	0	0	0	4	4	0	0	0	3	1	1	3
ankrd29	NA	0	1	1	1	1	0	1	0	2	0	0	1
plekhb2	NA	45	51	38	213	213	92	77	263	111	99	204	93
si:dkey-121a11.3	NA	7	7	5	12	12	6	2	18	11	2	11	6
stx6	NA	0	0	0	0	0	0	0	0	0	0	0	0
ier5	NA	0	0	0	0	0	0	0	0	0	0	0	0
tal1	NA	21	14	6	41	41	12	9	28	48	30	39	54
pdzk1ip1	NA	66	116	28	55	55	115	29	261	296	79	88	152
inadl	NA	254	407	291	294	294	569	242	1522	1092	828	640	753
si:dkey-38n4.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
tm2d1	NA	55	93	60	88	88	109	48	204	250	126	145	129
nfia	NA	491	375	393	479	479	467	412	1044	988	1018	1031	1333
mir2194	NA	0	0	0	0	0	0	0	0	0	0	0	0
frem1b	NA	11	43	18	6	6	36	24	55	103	27	46	33
atpaf1	NA	249	296	262	232	232	277	391	682	802	594	820	561
rab3b	NA	2	1	1	2	2	0	1	8	10	10	11	3
nrd1b	NA	148	183	201	218	218	206	139	488	477	410	340	420
axdnd1	NA	1	8	2	13	13	4	6	7	33	2	17	6
nphs2	NA	0	2	0	2	2	4	0	8	4	0	0	1
tdrd5	NA	1	4	11	2	2	18	0	48	2	35	0	1
si:dkey-171o17.8	NA	1	4	79	3	3	33	17	82	7	185	61	2
rabgap1l	NA	398	581	467	2541	2541	743	392	1933	1433	1215	944	977
gpr52	NA	0	1	2	1	1	1	0	3	1	4	1	4
si:ch211-197g15.10	NA	12	7	10	19	19	12	24	44	26	17	48	18
si:ch211-197g15.9	NA	21	3	24	125	125	74	32	147	7	62	71	43
si:ch211-197g15.8	NA	137	142	124	522	522	221	61	536	383	294	178	336
si:ch211-197g15.7	NA	172	1281	330	369	369	413	382	1052	3227	765	1070	424
si:ch211-197g15.6	NA	254	189	371	1187	1187	1814	126	4586	457	907	300	644
rab11ba	NA	544	866	550	1450	1450	824	643	2198	2124	1441	1498	1348
march2	NA	76	42	112	93	93	79	66	181	82	286	141	187
hnrnpm	NA	1102	1877	1068	1244	1244	1245	933	3130	4922	2829	2306	2774
pip5k1ca	NA	9	7	9	13	13	12	3	23	22	15	5	10
gpx4a	NA	2647	7816	2642	4439	4439	10768	10256	26529	18967	6450	25651	6225
polr2eb	NA	364	524	372	512	512	513	325	1195	1304	938	915	915
hmha1b	NA	382	581	290	6269	6269	496	520	1287	1515	741	1372	988
tjp3	NA	855	1914	1154	714	714	1221	802	3298	4754	3042	2159	2045
si:ch73-63e15.2	NA	587	2552	650	3259	3259	3221	537	8151	6375	1636	1331	1512
tm6sf2	NA	0	0	0	0	0	0	0	1	0	0	0	0
hapln4	NA	0	0	0	0	0	0	0	0	1	0	0	0
LOC110438300	NA	0	0	0	0	0	0	0	0	0	0	0	0
ncanb	NA	3	0	0	0	0	0	0	2	2	0	1	6
nr2c2ap	NA	42	39	34	21	21	32	47	87	105	104	74	88
rfxank	NA	66	312	59	135	135	222	63	449	666	164	152	172
borcs8	NA	69	120	66	104	104	105	67	272	310	162	132	126
si:ch211-125m10.6	NA	4	6	5	10	10	6	5	17	15	11	17	8
mef2b	NA	41	90	43	60	60	74	23	155	225	87	59	86
tmem161a	NA	49	72	78	128	128	97	82	282	163	196	234	168
LOC110438274	NA	0	0	0	0	0	0	0	0	0	0	0	1
mir9-4	NA	0	0	0	0	0	0	0	0	0	0	0	0
gatad2ab	NA	267	450	220	543	543	333	256	842	1078	543	674	634
LOC103909586	NA	0	1	0	1	1	0	1	0	1	0	0	1
LOC103909585	NA	0	0	0	0	0	0	0	0	0	0	0	0
tssk6	NA	0	0	0	0	0	0	0	0	3	0	1	0
yjefn3	NA	22	41	16	20	20	26	25	42	82	49	53	72
cilp2	NA	16	54	16	17	17	14	11	25	131	51	32	45
si:ch211-212d10.2	NA	5	46	14	51	51	77	18	186	105	50	41	16
si:ch211-212d10.1	NA	36	58	24	58	58	61	83	149	160	76	217	70
cirbpb	NA	13851	28972	8113	18245	18245	18803	8590	47821	71395	21064	21402	33862
midn	NA	894	466	181	1693	1693	697	470	1689	1248	496	1153	2055
atp5d	NA	1802	2812	1905	1162	1162	1802	1919	4699	6732	4914	4735	4265
cbarpb	NA	2	2	0	11	11	7	0	8	7	0	2	5
fstl3	NA	19	314	13	525	525	367	34	837	879	13	102	25
bsg	NA	3339	3753	3939	5672	5672	4234	4207	10462	9019	9903	10504	8034
hcn2b	NA	50	41	50	20	20	45	21	76	111	123	38	124
polrmt	NA	159	221	178	155	155	176	153	435	478	451	415	419
fgf22	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.7	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.8	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.10	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.13	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.14	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.15	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-21e2.16	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886682	NA	0	0	0	25	25	0	0	1	0	0	0	0
si:dkey-78l4.1	NA	0	6	0	9	9	6	0	18	10	0	3	9
si:dkey-78l4.2	NA	0	0	0	2	2	0	0	0	0	0	0	0
si:dkey-78l4.5	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-78l4.6	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-78l4.7	NA	0	0	0	4	4	0	0	0	0	0	0	0
si:dkey-78l4.8	NA	0	8	3	3	3	4	0	9	18	11	2	0
si:dkey-78l4.10	NA	0	0	0	0	0	5	0	11	0	0	0	0
LOC108181086	NA	0	4	0	0	0	0	0	0	11	0	1	0
si:dkey-78l4.11	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-78l4.12	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC558805	NA	92	381	9	21	21	52	131	158	918	45	285	215
si:dkey-78l4.14	NA	87	176	85	153	153	87	89	251	426	222	273	242
hsd11b1la	NA	171	192	201	110	110	162	309	402	452	459	678	471
rgmd	NA	0	0	0	0	0	0	0	0	0	0	0	0
celf5a	NA	0	0	0	0	0	0	0	0	0	0	0	1
rxfp3.2b	NA	0	0	0	0	0	1	0	1	0	0	0	2
creb3l3a	NA	79	45	2	11	11	35	157	51	160	0	324	173
eef2a.1	NA	130	97	60	75	75	52	92	110	196	157	192	350
eef2a.2	NA	28	25	87	17	17	16	20	56	43	169	59	57
btbd2a	NA	32	33	32	23	23	30	25	62	71	55	37	63
hmg20b	NA	15	39	29	12	12	25	23	68	91	57	64	31
si:dkey-110c1.7	NA	2	0	0	0	0	0	0	3	0	2	2	2
si:dkey-110c1.10	NA	0	0	1	1	1	0	0	0	0	0	0	0
mbd3b	NA	2	0	4	10	10	11	0	26	0	11	0	4
LOC110438275	NA	0	0	0	0	0	0	0	0	0	0	0	0
tcf3b	NA	0	2	2	3	3	1	0	4	3	1	5	8
zbtb7a	NA	173	131	203	117	117	193	170	527	368	579	492	413
map2k2a	NA	992	1025	1026	743	743	1053	958	2816	2735	2667	2502	2370
pias4a	NA	351	399	456	435	435	469	355	1096	1049	1157	854	867
foxq2	NA	1	0	0	0	0	0	1	0	1	0	0	0
onecut3a	NA	127	54	133	22	22	49	39	116	109	327	88	265
atp8b3	NA	3	8	1	18	18	5	0	15	6	2	2	6
si:dkey-172o19.2	NA	0	13	0	12	12	13	14	16	47	3	22	5
nfil3-4	NA	1	0	0	5	5	1	0	1	0	1	1	2
lingo3a	NA	1	2	0	10	10	9	0	11	2	1	0	6
org	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-3k20.4	NA	39	73	29	36	36	55	56	123	158	67	130	94
oaz1a	NA	4058	7270	7134	9087	9087	12154	7605	30753	17932	17864	18515	9475
LOC100331776	NA	0	0	0	0	0	1	0	0	0	0	0	0
LOC108181178	NA	0	0	0	0	0	0	0	0	0	0	0	0
amh	NA	3	2	1	1	1	2	2	8	1	6	3	6
dot1l	NA	263	405	221	498	498	433	181	996	924	547	472	678
ell	NA	493	369	625	753	753	362	563	887	875	1472	1412	1108
fkbp8	NA	400	635	507	319	319	581	503	1459	1519	1220	1258	975
ssbp4	NA	387	251	256	91	91	237	292	607	689	734	786	970
tmem59l	NA	24	43	21	56	56	37	18	140	82	51	82	82
crlf1b	NA	3	5	2	7	7	5	10	23	23	6	15	15
si:ch211-87h14.3	NA	82	135	89	139	139	131	97	287	318	222	217	189
trnar-ccu_30	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ucu_171	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_205	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_31	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_32	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_206	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_33	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_34	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_207	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_35	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_36	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_208	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_37	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_38	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_209	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_39	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_40	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_210	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_41	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_42	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_211	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_43	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_44	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_212	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_45	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_46	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_213	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_47	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_48	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_214	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_49	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_50	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_215	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_51	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_52	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_216	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_53	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_54	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_217	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_55	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_56	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_218	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_57	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_58	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_219	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_59	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_60	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_220	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_61	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_62	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_221	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_63	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_64	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_222	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_65	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_66	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_223	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_67	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_224	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_225	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_68	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_69	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_226	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-aau_223	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_227	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_228	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-caa_146	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_70	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-caa_147	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_229	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_71	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_72	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_230	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_73	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_74	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_231	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_75	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_76	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_232	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_233	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_77	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_78	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_234	NA	0	0	0	0	0	0	0	0	0	0	0	0
cpamd8	NA	8	8	9	2	2	14	13	30	29	17	33	30
odf3l2	NA	0	0	0	0	0	0	0	0	0	0	0	0
cks2	NA	0	3	0	0	0	3	0	2	0	0	0	0
shc2	NA	1	4	1	19	19	7	1	19	7	5	3	1
ankrd24	NA	0	0	1	0	0	7	0	7	0	0	0	1
shdb	NA	0	0	1	2	2	0	0	1	2	2	0	0
s1pr3a	NA	2	1	1	0	0	2	0	2	0	6	0	3
mier2	NA	5	0	9	28	28	21	0	75	3	26	0	8
plpp2b	NA	8	14	80	42	42	186	4	484	33	215	21	48
trnaq-uug_90	NA	0	0	0	0	0	0	0	0	0	0	0	0
tle2	NA	7	33	13	31	31	25	21	51	92	49	31	28
si:dkey-42p8.3	NA	6	9	3	6	6	4	4	9	12	5	8	10
aes	NA	11	19	8	21	21	10	16	24	48	8	32	23
gna11a	NA	278	352	137	250	250	277	595	644	888	367	1304	604
trnam-cau_235	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_79	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_236	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_237	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_80	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_238	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_239	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_81	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_240	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_82	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_241	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_242	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_83	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_243	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_244	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_84	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_54	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_85	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_245	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_246	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_86	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_247	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_248	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_87	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_249	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_250	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_88	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_251	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_252	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_89	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_253	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_90	NA	0	0	0	0	0	0	0	0	0	0	0	1
trnam-cau_254	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_91	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_55	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_255	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_92	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_56	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_256	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_93	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_257	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_258	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_94	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ccu_95	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnam-cau_259	NA	0	0	0	0	0	0	0	0	0	0	0	0
